lat,lon,T_cold,GDD0,P_season,TP_syn,Aridity,ISO
39.793236446147,-114.956577498268,-40,2703,13,-8,68,41
44.2312974139044,-117.616318458098,-51,2889,42,-80,77,37
32.4707147625362,-114.89952290379,133,8205,88,-26,278,49
35.8766742109655,-121.322937762141,83,4398,95,-92,23,62
20.0405450516786,-99.8048322015423,108,4935,84,53,-10,69
30.8882620378593,-110.86986708511,103,6690,74,51,58,53
42.5412200117729,-121.273601331253,-24,2544,57,-91,41,46
43.5206737979231,-124.112125264749,65,3912,81,-93,-104,51
24.305467309952,-105.285244914713,69,4182,79,68,-33,60
35.7980907504178,-118.869007351542,81,6393,93,-95,97,44
43.1077241714217,-113.500821314383,-63,2964,34,-65,88,36
40.2529466669744,-109.759537476226,-86,3438,29,67,125,35
59.5590424336921,-124.846763173425,-205,1440,46,79,8,25
47.8658474384497,-122.540479692098,37,3699,56,-93,-40,39
32.5204593376072,-106.351858854416,51,5763,64,69,118,47
41.0381820866107,-118.05404060062,-16,3462,45,-71,112,42
52.3313633051515,-128.621949678835,32,3120,46,-70,-165,26
51.3774941370345,-126.345121340039,-35,1401,44,-73,-46,35
31.9532087124903,-115.286725683755,135,7737,89,-23,267,53
61.0047014896926,-134.446539235697,-211,1146,52,67,68,26
44.4037269168999,-120.290631554063,-41,2049,45,-86,26,44
40.7035893072926,-118.714904569522,-15,3528,38,-70,123,42
55.3245237724712,-118.699844052661,-167,2100,44,73,18,26
38.2806741265518,-118.085843727094,12,4470,19,31,160,42
52.2790307773836,-117.093468049314,-138,879,30,73,-17,31
38.1498008280399,-120.783804716611,71,5706,92,-97,28,45
37.008087353137,-110.111498136707,-5,4506,43,22,118,34
21.5393615782315,-104.166149189604,136,6348,89,53,-8,62
37.0609569816656,-120.153760313991,70,5955,95,-97,97,45
38.3678384437155,-110.644196788621,-32,4359,34,60,155,38
19.39737390372,-102.473475535336,165,6867,95,37,-46,66
47.8136126200677,-115.181215052605,-69,1968,36,-85,14,37
41.7604747857511,-111.738720846138,-73,2169,26,-79,43,38
38.9742382741024,-112.867507093269,-32,3639,17,-4,100,40
54.9730555303319,-123.389608178504,-131,1569,29,6,0,29
