species,lat,lon,T_cold,GDD0,P_season,TP_syn,Aridity,ISO
Mimulus alsinoides,48.87517,-121.01923,-15,2967,66,-90,-57,34
Mimulus alsinoides,48.51154,-122.81169,39,3420,49,-89,-13,41
Mimulus alsinoides,46.81724,-122.4326,27,3333,62,-92,-97,43
Mimulus alsinoides,48.39583,-120.8255,-50,2334,66,-89,11,36
Mimulus alsinoides,47.55861,-122.8075,24,3162,68,-93,-105,39
Mimulus alsinoides,48.46281,-122.62806,32,3267,48,-90,-34,40
Mimulus alsinoides,48.69483,-121.1234,-35,2310,64,-90,-54,34
Mimulus alsinoides,47.84111,-120.01528,-29,3714,53,-91,106,31
Mimulus alsinoides,49.08,-122.15583,18,3540,53,-93,-102,37
Mimulus alsinoides,49.13389,-121.23417,-25,2667,61,-91,-49,33
Mimulus alsinoides,49.36667,-121.51667,8,3558,62,-93,-118,33
Mimulus alsinoides,42.8017,-122.2532,-22,2076,74,-92,-40,44
Mimulus alsinoides,42.9729,-122.1106,-32,1623,75,-91,-12,43
Mimulus alsinoides,42.8309,-122.7067,10,3018,75,-93,-77,46
Mimulus alsinoides,42.8452,-122.7265,-6,2367,76,-92,-61,45
Mimulus alsinoides,48.4275,-122.26028,39,3630,49,-92,-62,43
Mimulus alsinoides,43.9755,-123.6428,51,4092,80,-94,-96,46
Mimulus alsinoides,49.56667,-121.4,-12,3288,64,-93,-59,30
Mimulus alsinoides,44.3958,-122.1581,-20,1971,73,-93,-105,39
Mimulus alsinoides,42.5047,-124.0573,64,4146,85,-94,-103,51
Mimulus alsinoides,42.4545,-122.9443,27,3828,71,-93,-11,47
Mimulus alsinoides,42.9149,-123.763,35,3354,83,-92,-93,49
Mimulus alsinoides,45.6853,-121.3058,10,3972,77,-93,11,39
Mimulus alsinoides,43.2929,-122.6272,22,3567,74,-95,-84,44
Mimulus alsinoides,44.2954,-122.883,20,3069,73,-94,-129,44
Mimulus alsinoides,42.2727,-124.3675,86,4230,83,-91,-116,57
Mimulus alsinoides,42.1278,-124.1921,75,4131,85,-93,-118,55
Mimulus alsinoides,42.8178,-124.4641,71,3894,81,-91,-116,53
